"Código","Nome Município","Hep C Novo 1999-2007","Hep C Novo 2008","Hep C Novo 2009","Hep C Novo 2010","Hep C Novo 2011","Hep C Novo 2012","Hep C Novo 2013","Hep C Novo 2014","Hep C Novo 2015","Hep C Novo 2016","Hep C Novo 2017","Hep C Novo 2018","Hep C Novo 2019","Hep C Novo 2020","Tx Det Hep C Novo 2008","Tx Det Hep C Novo 2009","Tx Det Hep C Novo 2010","Tx Det Hep C Novo 2011","Tx Det Hep C Novo 2012","Tx Det Hep C Novo 2013","Tx Det Hep C Novo 2014","Tx Det Hep C Novo 2015","Tx Det Hep C Novo 2016","Tx Det Hep C Novo 2017","Tx Det Hep C Novo 2018","Tx Det Hep C Novo 2019","Tx Det Hep C Novo 2020","Hep C M Total","Hep C M 1999-2007","Hep C M 2008","Hep C M 2009","Hep C M 2010","Hep C M 2011","Hep C M 2012","Hep C M 2013","Hep C M 2014","Hep C M 2015","Hep C M 2016","Hep C M 2017","Hep C M 2018","Hep C M 2019","Hep C M 2020","Tx Det M Hep C M 2008","Tx Det M Hep C M 2009","Tx Det M Hep C M 2010","Tx Det M Hep C M 2011","Tx Det M Hep C M 2012","Tx Det M Hep C M 2013","Tx Det M Hep C M 2014","Tx Det M Hep C M 2015","Tx Det M Hep C M 2016","Tx Det M Hep C M 2017","Tx Det M Hep C M 2018","Tx Det M Hep C M 2019","Tx Det M Hep C M 2020","Hep C F Total","Hep C F 1999-2007","Hep C F 2008","Hep C F 2009","Hep C F 2010","Hep C F 2011","Hep C F 2012","Hep C F 2013","Hep C F 2014","Hep C F 2015","Hep C F 2016","Hep C F 2017","Hep C F 2018","Hep C F 2019","Hep C F 2020","Tx Det F Hep C F 2008","Tx Det F Hep C F 2009","Tx Det F Hep C F 2010","Tx Det F Hep C F 2011","Tx Det F Hep C F 2012","Tx Det F Hep C F 2013","Tx Det F Hep C F 2014","Tx Det F Hep C F 2015","Tx Det F Hep C F 2016","Tx Det F Hep C F 2017","Tx Det F Hep C F 2018","Tx Det F Hep C F 2019","Tx Det F Hep C F 2020","Óbitos C Total","Óbitos C 2000-2007","Óbitos C 2008","Óbitos C 2009","Óbitos C 2010","Óbitos C 2011","Óbitos C 2012","Óbitos C 2013","Óbitos C 2014","Óbitos C 2015","Óbitos C 2016","Óbitos C 2017","Óbitos C 2018","Óbitos C 2019"
352110,"Ipeúna",1,1,1,0,0,0,0,0,1,0,2,0,0,0,17.9533213644524,17.5777816839515,0,0,0,0,0,14.3864192202561,0,27.5747966358748,0,0,0,5,1,1,1,0,0,0,0,0,1,0,1,0,0,0,33.7268128161889,32.8947368421053,0,0,0,0,0,27.7469478357381,0,26.525198938992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28.7108814240597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352115,"Ipiguá",3,0,0,0,0,1,2,1,0,0,1,1,0,0,0,0,0,0,21.6778668978972,41.211621677313,20.2224469160768,0,0,19.1644308164048,18.8465887674331,0,0,5,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,42.7350427350427,40.7331975560082,0,0,0,38.0807311500381,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37.8357926598562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352120,"Iporanga",4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,23.2558139534884,23.3699462491236,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46.2748727441,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46.9483568075117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
352130,"Ipuã",2,1,0,1,1,0,0,0,3,0,1,1,2,0,6.44246875402654,0,7.06813683912921,6.98177756056692,0,0,0,19.2480431156166,0,6.24843789052737,6.16941205503116,12.1884331769151,0,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,13.869625520111,0,0,0,0,12.5502008032129,0,0,12.0409391932571,0,0,6,0,1,0,0,0,0,0,0,2,0,1,0,2,0,13.2661183337755,0,0,0,0,0,0,26.2536098713573,0,12.8057369701626,0,25.0062515628907,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
352140,"Iracemápolis",12,0,1,2,0,0,0,0,0,1,3,2,1,2,0,5.07459656957272,9.98552099455789,0,0,0,0,0,4.33839479392625,12.7942681678608,8.38715088484442,4.1262636682484,8.12545705695945,13,6,0,0,1,0,0,0,0,0,1,3,1,0,1,0,0,9.95421063109695,0,0,0,0,0,8.65126741067566,25.5188839741409,8.37030216790826,0,8.11095790412848,6,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,10.0170289492137,0,0,0,0,0,0,0,8.40406756870325,8.27061450665785,8.14000814000814,3,0,0,0,1,2,0,0,0,0,0,0,0,0
352150,"Irapuã",6,0,1,2,1,1,0,2,0,0,3,1,1,1,0,14.3081985977965,27.4914089347079,13.6556056261095,13.5703623286742,0,25.974025974026,0,0,38.0758979565935,12.5992188484314,12.5109470786939,12.4254473161034,5,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,26.1574679571018,0,0,0,0,0,23.8435860753457,23.5960358659745,23.3863423760524,23.1642344220523,5,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,29.6120817293456,0,0,0,0,27.5254610514726,0,0,54.2740841248304,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0
352160,"Irapuru",2,1,0,0,0,0,1,0,3,2,4,3,2,1,12.7534753220253,0,0,0,0,12.3609394313968,0,36.7647058823529,24.405125076266,48.6144871171609,36.3152160755356,24.1138172172655,12.012012012012,17,2,1,0,0,0,0,0,0,3,2,4,3,1,1,25.2525252525252,0,0,0,0,0,0,59.5120015869867,39.1083300743058,77.0861437656581,57.0233795856301,18.7441424554827,18.5013876040703,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33.7952010814464,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
352170,"Itaberá",5,1,0,0,1,1,1,0,1,1,3,2,2,0,5.61671534486632,0,0,5.6249296883789,5.65003672523871,5.53955240416574,0,5.59284116331096,5.61892453784346,16.9338451117634,11.3410830734335,11.3921166552746,0,6,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,11.1495149960977,0,0,0,0,0,33.5158082895766,11.2384805574286,0,0,8,1,0,0,0,0,1,1,0,1,1,0,1,2,0,0,0,0,0,11.4129194247889,11.1881852763482,0,11.2956060092624,11.3520263367011,0,11.4455762847659,23.0176084704799,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
352180,"Itaí",12,3,8,16,6,6,3,2,1,0,2,1,0,0,12.5902299815343,33.2046652554684,66.6444518493835,24.7565604885295,24.5328535797522,11.7808757117612,7.76729193366733,3.84024577572965,0,7.52134180737844,3.72286958787834,0,0,33,6,2,4,5,3,6,2,1,1,0,2,1,0,0,16.2972620599739,32.2087124567195,39.1818822976256,23.2883092687471,46.1644994998846,14.5592196258281,7.16486350935015,7.05367849333427,0,13.6864435776364,6.74399784192069,0,0,6,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,8.56604420078808,17.7825197830533,0,0,8.52660300136426,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0
352190,"Itajobi",10,1,1,2,1,1,3,2,5,0,1,2,3,0,6.82500682500683,6.81152510047,13.7400384721077,6.85776985324373,6.8465014377653,19.9494613645432,13.2661183337755,33.0797221303341,0,6.58327847267939,13.1354262445816,19.6566636089634,0,10,3,0,0,0,0,1,2,0,2,0,0,1,1,0,0,0,0,0,13.5722041259501,26.2777558796479,0,26.1335424016725,0,0,12.9584035246858,12.9215660938106,0,14,2,0,0,1,1,0,1,2,3,0,1,1,2,0,0,0,13.8753989177189,13.8446628824588,0,13.4643866971859,26.8708853956738,40.2036987402841,0,13.3440085401655,13.3173525103209,26.5851389073508,0,3,0,0,0,0,0,1,1,0,0,0,0,1,0
352200,"Itaju",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26.4410364886304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56.5610859728507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352210,"Itanhaém",103,19,13,26,66,48,51,46,44,37,35,34,45,18,22.0989334356863,14.8853825543316,29.865490425813,74.8180560908699,53.7321452558993,54.5367053413891,48.4542055090325,45.6483623650002,37.8354057591623,35.3021867183087,33.8321923260627,44.1973756580498,17.4584392155341,272,61,9,5,9,22,13,8,10,29,24,16,20,33,13,21.0935852063656,11.54041453169,21.3310580204778,51.4583771899048,30.0279490910771,17.7234259382339,21.857445738891,62.5188634501789,51.06926268752,33.6296950207033,41.5213419697725,67.7117531188444,26.3707730693551,169,24,6,4,12,17,15,9,4,15,13,19,14,12,5,13.8536134841838,9.0892564988184,26.7469073888332,37.3946899540265,32.581072568909,18.6038820100461,8.1327260897853,29.9982001079935,25.5920625233774,36.8452692613493,26.7543189114814,22.6073850791258,9.29281665272744,20,2,0,2,3,1,1,1,0,2,3,2,1,2
352215,"Itaóca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
352220,"Itapecerica da Serra",88,14,19,21,14,27,17,18,30,19,11,21,22,4,8.79938655705145,11.729915606344,13.7602054857353,9.06888465674272,17.2991536228913,10.4303437105027,10.8985226447082,17.9227529348508,11.2072575840692,6.41014434479584,12.091759178221,12.5218420768044,2.25146626740665,102,25,0,5,6,2,9,4,2,13,10,2,10,11,3,0,6.21921488631275,7.86678903894061,2.59231895892471,11.5378698528281,4.88466094347226,2.40679679414667,15.4148979059454,11.6922141545945,2.3072574783983,11.3844647593893,12.3635791437659,3.33059484423918,104,19,3,4,5,1,7,4,3,17,9,9,11,11,1,3.74232822713437,4.90298223894684,6.5493031541444,1.29495098610518,8.96596774813316,4.93236494568233,3.6557724647218,20.4693501583364,10.7135204628241,10.5982100800754,12.8155837498398,12.6842093125159,1.14170890989633,33,12,1,0,3,2,2,1,1,2,1,3,2,3
352230,"Itapetininga",274,22,22,21,30,23,32,22,26,27,23,14,19,11,14.9904606159717,14.7839526913514,14.5452530527716,20.5730273895571,15.6229834464301,20.8599515006128,14.1752577319588,16.5565022478636,17.0012341636652,14.3282540710931,8.62967003840203,11.592363682955,6.64548167659461,308,130,9,12,12,16,15,19,11,16,21,15,10,14,8,12.1239879837808,15.9225104491475,16.6280987154794,21.9508848950473,20.3837582214491,24.7315327041979,14.1470001929136,20.3290769328505,26.3756138610131,18.6309945224876,12.2851632083932,17.015277288251,9.62463907603465,115,37,4,5,4,10,6,9,4,10,6,8,4,5,3,5.51518744743337,6.80781537204711,5.53939897521119,13.7114024022377,8.14874169846939,11.7525692422205,5.16495577506618,12.7660117702629,7.57642720947559,9.99862518903651,4.94853523357086,6.1257994168239,3.64051161323205,22,5,2,1,2,1,1,1,3,0,2,4,0,0
