"Código","Nome Município","Hepatite D Total","Hepatite D 1999-2007","Hepatite D 2008","Hepatite D 2009","Hepatite D 2010","Hepatite D 2011","Hepatite D 2012","Hepatite D 2013","Hepatite D 2014","Hepatite D 2015","Hepatite D 2016","Hepatite D 2017","Hepatite D 2018","Hepatite D 2019","Hepatite D 2020","Hep D M Total","Hep D M 1999-2007","Hep D M 2008","Hep D M 2009","Hep D M 2010","Hep D M 2011","Hep D M 2012","Hep D M 2013","Hep D M 2014","Hep D M 2015","Hep D M 2016","Hep D M 2017","Hep D M 2018","Hep D M 2019","Hep D M 2020","Hep D F Total","Hep D F 1999-2007","Hep D F 2008","Hep D F 2009","Hep D F 2010","Hep D F 2011","Hep D F 2012","Hep D F 2013","Hep D F 2014","Hep D F 2015","Hep D F 2016","Hep D F 2017","Hep D F 2018","Hep D F 2019","Hep D F 2020","Óbitos D Total","Óbitos D 2000-2007","Óbitos D 2008","Óbitos D 2009","Óbitos D 2010","Óbitos D 2011","Óbitos D 2012","Óbitos D 2013","Óbitos D 2014","Óbitos D 2015","Óbitos D 2016","Óbitos D 2017","Óbitos D 2018","Óbitos D 2019"
110148,"São Felipe D'Oeste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110149,"São Francisco do Guaporé",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110150,"Seringueiras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110155,"Teixeirópolis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110160,"Theobroma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110170,"Urupá",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110175,"Vale do Anari",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110180,"Vale do Paraíso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120001,"Acrelândia",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120005,"Assis Brasil",10,4,0,0,2,1,0,2,0,0,0,0,1,0,0,6,4,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
120010,"Brasiléia",10,3,1,0,1,0,0,4,1,0,0,0,0,0,0,7,3,1,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
120013,"Bujari",7,0,0,1,0,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,1,0,2,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
120017,"Capixaba",5,0,0,1,0,0,0,2,1,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
120020,"Cruzeiro do Sul",247,100,10,18,11,36,21,7,18,9,13,0,4,0,0,150,66,6,14,7,17,11,2,10,5,9,0,3,0,0,97,34,4,4,4,19,10,5,8,4,4,0,1,0,0,17,6,1,0,1,1,3,0,2,2,1,0,0,0
120025,"Epitaciolândia",6,1,0,1,1,0,0,3,0,0,0,0,0,0,0,4,0,0,1,1,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120030,"Feijó",31,6,1,4,2,4,2,2,2,3,1,1,2,1,0,19,3,1,2,2,2,2,1,1,2,1,0,2,0,0,12,3,0,2,0,2,0,1,1,1,0,1,0,1,0,5,0,2,0,0,0,0,1,1,0,1,0,0,0
120032,"Jordão",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120033,"Mâncio Lima",26,22,0,1,0,0,0,0,0,1,1,0,1,0,0,16,13,0,1,0,0,0,0,0,0,1,0,1,0,0,10,9,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0
120034,"Manoel Urbano",13,3,0,0,2,0,0,3,3,1,1,0,0,0,0,7,3,0,0,1,0,0,2,0,1,0,0,0,0,0,6,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120035,"Marechal Thaumaturgo",21,5,0,2,0,2,1,0,3,4,1,2,0,1,0,17,5,0,2,0,1,1,0,2,3,1,2,0,0,0,4,0,0,0,0,1,0,0,1,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0
120038,"Plácido de Castro",9,3,3,0,1,2,0,0,0,0,0,0,0,0,0,5,2,1,0,1,1,0,0,0,0,0,0,0,0,0,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120039,"Porto Walter",30,22,1,1,1,1,0,0,3,1,0,0,0,0,0,21,15,0,1,1,1,0,0,2,1,0,0,0,0,0,9,7,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
120040,"Rio Branco",384,156,9,18,27,16,27,62,25,16,9,9,9,1,0,215,85,4,11,19,10,15,31,15,9,5,6,5,0,0,169,71,5,7,8,6,12,31,10,7,4,3,4,1,0,34,16,2,4,2,0,0,4,1,1,3,0,0,1
120042,"Rodrigues Alves",12,10,1,0,0,0,0,0,0,0,0,0,0,1,0,8,6,1,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0
120043,"Santa Rosa do Purus",29,10,11,2,0,1,0,3,1,1,0,0,0,0,0,20,6,8,2,0,0,0,2,1,1,0,0,0,0,0,9,4,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120045,"Senador Guiomard",4,0,1,1,0,0,1,0,1,0,0,0,0,0,0,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
120050,"Sena Madureira",89,34,8,10,3,12,7,5,4,4,1,0,1,0,0,52,22,4,2,1,9,4,4,3,2,1,0,0,0,0,37,12,4,8,2,3,3,1,1,2,0,0,1,0,0,4,2,1,0,0,0,0,1,0,0,0,0,0,0
120060,"Tarauacá",72,24,3,19,5,4,7,1,1,1,3,2,1,1,0,44,15,0,14,2,2,3,1,1,1,2,2,0,1,0,28,9,3,5,3,2,4,0,0,0,1,0,1,0,0,5,1,0,1,0,1,0,0,0,0,2,0,0,0
120070,"Xapuri",4,0,0,0,1,0,0,2,0,1,0,0,0,0,0,4,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120080,"Porto Acre",10,6,0,2,1,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,7,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
