"Código","Nome Município","Hepatite B 1999-2007","Hepatite B 2008","Hepatite B 2009","Hepatite B 2010","Hepatite B 2011","Hepatite B 2012","Hepatite B 2013","Hepatite B 2014","Hepatite B 2015","Hepatite B 2016","Hepatite B 2017","Hepatite B 2018","Hepatite B 2019","Hepatite B 2020","Tx Det Hep B 2008","Tx Det Hep B 2009","Tx Det Hep B 2010","Tx Det Hep B 2011","Tx Det Hep B 2012","Tx Det Hep B 2013","Tx Det Hep B 2014","Tx Det Hep B 2015","Tx Det Hep B 2016","Tx Det Hep B 2017","Tx Det Hep B 2018","Tx Det Hep B 2019","Tx Det Hep B 2020","Hep B M Total","Hep B M 1999-2007","Hep B M 2008","Hep B M 2009","Hep B M 2010","Hep B M 2011","Hep B M 2012","Hep B M 2013","Hep B M 2014","Hep B M 2015","Hep B M 2016","Hep B M 2017","Hep B M 2018","Hep B M 2019","Hep B M 2020","Tx Det M Hep B M 2008","Tx Det M Hep B M 2009","Tx Det M Hep B M 2010","Tx Det M Hep B M 2011","Tx Det M Hep B M 2012","Tx Det M Hep B M 2013","Tx Det M Hep B M 2014","Tx Det M Hep B M 2015","Tx Det M Hep B M 2016","Tx Det M Hep B M 2017","Tx Det M Hep B M 2018","Tx Det M Hep B M 2019","Tx Det M Hep B M 2020","Hep B F Total","Hep B F 1999-2007","Hep B F 2008","Hep B F 2009","Hep B F 2010","Hep B F 2011","Hep B F 2012","Hep B F 2013","Hep B F 2014","Hep B F 2015","Hep B F 2016","Hep B F 2017","Hep B F 2018","Hep B F 2019","Hep B F 2020","Tx Det F Hep B F 2008","Tx Det F Hep B F 2009","Tx Det F Hep B F 2010","Tx Det F Hep B F 2011","Tx Det F Hep B F 2012","Tx Det F Hep B F 2013","Tx Det F Hep B F 2014","Tx Det F Hep B F 2015","Tx Det F Hep B F 2016","Tx Det F Hep B F 2017","Tx Det F Hep B F 2018","Tx Det F Hep B F 2019","Tx Det F Hep B F 2020","Óbitos B Total","Óbitos B 2000-2007","Óbitos B 2008","Óbitos B 2009","Óbitos B 2010","Óbitos B 2011","Óbitos B 2012","Óbitos B 2013","Óbitos B 2014","Óbitos B 2015","Óbitos B 2016","Óbitos B 2017","Óbitos B 2018","Óbitos B 2019"
317080,"Várzea da Palma",2,3,1,0,0,1,0,0,1,1,0,1,0,0,8.35491686857716,2.75406224180666,0,0,2.74431241252504,0,0,2.61814373609111,2.59585182877761,0,2.55277869961453,0,0,6,0,2,1,0,0,0,0,0,1,1,0,1,0,0,11.1377178816061,5.51085638708255,0,0,0,0,0,5.13320671423438,5.08414255935737,0,4.99076708090033,0,0,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,5.57103064066852,0,0,0,5.56452061654888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317090,"Varzelândia",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,5.23121992048546,0,0,0,0,0,5.16342231631125,0,0,5.175983436853,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10.2406554019457,0,0,0,0,0,10.0331092605599,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.690613641223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317100,"Vazante",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,4.90821635417689,0,4.88233570940338,4.86926035935142,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9.69086151758891,9.66557123526,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.89217528934613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317103,"Verdelândia",0,2,0,0,0,0,0,0,0,0,0,0,2,1,23.8208670795617,0,0,0,0,0,0,0,0,0,0,21.3789417423837,10.5898549189876,4,0,2,0,0,0,0,0,0,0,0,0,0,1,1,46.2000462000462,0,0,0,0,0,0,0,0,0,0,20.8724692131079,20.6825232678387,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.9106047326906,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
317107,"Veredinha",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.9565451607111,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34.5065562456867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317110,"Veríssimo",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.6278831368529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,51.7866390471258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317115,"Vermelho Novo",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317120,"Vespasiano",33,10,6,7,7,7,5,4,8,8,6,5,8,2,10.0444971222516,5.8913632614587,6.69683431075225,6.5613722641421,6.4355388844453,4.39831104855735,3.44592906555019,6.74928921547949,6.62109148693162,4.87531384832899,3.98800408371618,6.26954334213682,1.54124763996455,56,16,3,3,2,6,4,1,3,4,3,3,3,4,1,6.06550748079256,5.92674542652811,3.92110732070737,11.525384659713,7.53607897810769,1.80688060132986,5.3132139631263,6.94420332627339,5.11500230175104,5.0269781158886,4.93957256232094,6.47699855886782,1.59377789111309,60,17,7,3,5,1,3,4,1,4,5,3,2,4,1,13.9728925883785,5.85640104634365,9.34212738924908,1.83063010288141,5.38667337008242,6.85682940208448,1.67740203972088,6.56501829998851,8.04181745074387,4.73253300941774,3.09396367686643,6.07496506895085,1.49206964981125,6,2,1,0,1,0,0,0,0,2,0,0,0,0
317130,"Viçosa",11,1,1,1,1,1,1,2,2,4,3,3,1,0,1.36310351408086,1.34821765625843,1.3846579894766,1.37389058335394,1.36364256201165,1.32699912418058,2.6330340451302,2.61192080656114,5.18497394550592,3.86060637257425,3.83210280254452,1.26829515764909,0,19,6,1,1,1,0,0,1,2,2,2,1,2,0,0,2.77338658235571,2.74190452688437,2.85706122682209,0,0,2.73957591364857,5.43847722637662,5.39650845902701,5.35819535980282,2.66141480811199,5.28597103287874,0,0,13,5,0,0,0,1,1,0,0,0,2,2,1,1,0,0,0,0,2.66595574513463,2.6459226332222,0,0,0,5.02260170768458,4.98330592515075,2.47218788627936,2.45362645990774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317140,"Vieiras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317150,"Mathias Lobato",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29.8507462686567,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59.9161174355902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317160,"Virgem da Lapa",0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,6.81013347861618,0,0,0,7.2311808518331,0,7.24532676423707,7.25163161711385,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14.5074713477441,0,0,0,0,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,13.5354629128316,0,0,0,14.4258511252164,0,14.4717800289436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317170,"Virgínia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
